LINE_UNIQUE_ID,CLUSTER_ID,POP_NUM,GCA_pred,GCA_obs,n_env,rank,advance
C1.253.44,1,253,252.16949063203873,250.9537811279297,7,104,False
C1.444.106,1,444,252.12063596920848,234.5620574951172,6,105,False
C1.381.120,1,381,252.0024994224177,243.0368194580078,5,106,False
C1.381.92,1,381,251.97781003730898,234.382080078125,5,107,False
C1.428.128,1,428,251.89737324511967,248.7252197265625,6,108,False
C1.424.43,1,424,251.8936676151733,238.0426788330078,5,109,False
C1.247.129,1,247,251.7601484705142,237.22265625,7,110,False
C1.253.199,1,253,251.6923406857844,220.0323028564453,6,111,False
C1.424.134,1,424,251.63050628583773,235.61767578125,4,112,False
C1.247.121,1,247,251.49463092165118,240.9386444091797,7,113,False
C1.418.33,1,418,251.49209642735246,251.39306640625,5,114,False
C1.253.131,1,253,251.48222316233884,229.51275634765625,6,115,False
C1.287.150,1,287,251.4358790893737,207.5147705078125,7,116,False
C1.253.162,1,253,251.3921165015799,236.43936157226562,7,117,False
C1.381.93,1,381,251.35094194349836,252.76565551757812,5,118,False
C1.254.15,1,254,251.3010518947991,221.22084045410156,8,119,False
C1.260.222,1,260,251.2879237622442,244.66026306152344,6,120,False
C1.253.62,1,253,251.24447843142963,243.9694061279297,7,121,False
C1.396.56,1,396,251.2132700747327,253.9447784423828,4,122,False
C1.428.101,1,428,251.18415366093134,252.71641540527344,6,123,False
C1.381.60,1,381,251.11940861485454,241.93826293945312,5,124,False
C1.381.119,1,381,251.11678424187045,249.5244598388672,5,125,False
C1.381.177,1,381,251.09933325045935,237.347900390625,5,126,False
C1.127.00000000054,1,127,251.09249136806307,239.0,4,127,False
C1.383.146,1,383,251.02888749019905,222.2677001953125,6,128,False
C1.127.00000000107,1,127,250.97004797726447,239.25,4,129,False
C1.127.00000000103,1,127,250.94298228521154,226.5,4,130,False
C1.253.46,1,253,250.9133619742716,239.5531463623047,7,131,False
C1.362.178,1,362,250.88605143365098,243.6937713623047,6,132,False
C1.381.194,1,381,250.80884281543064,234.9010772705078,5,133,False
C1.253.24,1,253,250.77284321075103,235.4509735107422,6,134,False
C1.279.30,1,279,250.75574715502015,220.69781494140625,8,135,False
C1.428.143,1,428,250.6844992706793,240.0611114501953,6,136,False
C1.428.124,1,428,250.67296072627218,243.06475830078125,6,137,False
C1.418.21,1,418,250.66348296436217,230.6227264404297,5,138,False
C1.428.116,1,428,250.5896314048024,238.47691345214844,6,139,False
C1.381.152,1,381,250.55202428076558,252.889892578125,5,140,False
C1.428.220,1,428,250.5436103694162,243.94944763183594,6,141,False
C1.428.125,1,428,250.5056628053492,261.7611389160156,6,142,False
C1.380.154,1,380,250.50331458117088,238.3928680419922,5,143,False
C1.260.124,1,260,250.48024083543405,215.57052612304688,7,144,False
C1.428.111,1,428,250.44415164217187,237.97483825683594,6,145,False
C1.266.175,1,266,250.4097239704197,211.90036010742188,7,146,False
C1.31.00000000104,1,31,250.3872232665594,264.3398132324219,1,147,False
C1.382.47,1,382,250.36836837936585,245.9551239013672,6,148,False
C1.431.56,1,431,250.34847685984565,221.95774841308594,4,149,False
C1.284.151,1,284,250.33913563472768,218.4150390625,6,150,False
C1.431.13,1,431,250.33157876842847,218.60458374023438,5,151,False
C1.260.203,1,260,250.30789860836072,232.75132751464844,7,152,False
C1.264.240,1,264,250.2400183238772,232.89694213867188,8,153,False
C1.431.11,1,431,250.23871044267048,228.2820281982422,5,154,False
C1.381.22,1,381,250.20890797835864,249.46755981445312,5,155,False
C1.253.192,1,253,250.1997390194615,236.06129455566406,7,156,False
C1.237.137,1,237,250.17026141812866,236.2492218017578,10,157,False
C1.107.137,1,107,250.17026141812002,236.2491912841797,10,158,False
C1.381.133,1,381,250.11927027025996,247.40817260742188,5,159,False
C1.383.12,1,383,250.068355133751,254.326171875,6,160,False
C1.253.34,1,253,250.03961573173947,247.97117614746094,7,161,False
C1.381.40,1,381,250.03102000650887,242.02401733398438,5,162,False
C1.238.34,1,238,250.02178132607125,244.43087768554688,9,163,False
C1.337.37,1,337,250.02013260401904,216.0487060546875,6,164,False
C1.253.156,1,253,250.0164298935249,261.2227783203125,7,165,False
C1.381.142,1,381,249.9932162155789,227.824462890625,5,166,False
C1.255.138,1,255,249.98185272108384,223.46749877929688,8,167,False
C1.381.81,1,381,249.9763380209328,256.1627502441406,5,168,False
C1.381.55,1,381,249.96062601034845,252.5874481201172,5,169,False
C1.381.16,1,381,249.95229335697906,249.8999481201172,5,170,False
C1.431.66,1,431,249.94802081901705,230.27313232421875,4,171,False
C1.253.83,1,253,249.91073211845173,244.59083557128906,6,172,False
C1.496.249,1,496,249.76806014285887,244.47398376464844,8,173,False
C1.428.201,1,428,249.69694597111865,233.59400939941406,6,174,False
C1.276.66,1,276,249.68350104124542,226.2174835205078,7,175,False
C1.127.00000000171,1,127,249.67660595358393,242.5,4,176,False
C1.247.86,1,247,249.64661685687076,220.40313720703125,8,177,False
C1.444.142,1,444,249.60951268886018,225.5776824951172,7,178,False
C1.381.158,1,381,249.58604531511804,251.77859497070312,5,179,False
C1.127.00000000159,1,127,249.58415757531066,230.0,4,180,False
C1.428.114,1,428,249.56223627450547,243.1635284423828,6,181,False
C1.418.56,1,418,249.54579389122583,255.30136108398438,5,182,False
C1.238.157,1,238,249.48605277141195,235.0133819580078,10,183,False
C1.127.00000000182,1,127,249.4494614812496,237.75,4,184,False
C1.428.158,1,428,249.430940019861,246.64242553710938,5,185,False
C1.381.112,1,381,249.37284848174622,242.37197875976562,5,186,False
C1.418.55,1,418,249.36152007530768,222.1108856201172,5,187,False
C1.127.00000000077,1,127,249.35876930033203,239.25,4,188,False
C1.127.00000000044,1,127,249.332961973089,259.75,4,189,False
C1.428.226,1,428,249.3076910775591,255.0928192138672,6,190,False
C1.381.124,1,381,249.3014440123046,243.7738494873047,5,191,False
C1.253.182,1,253,249.2935405746929,245.96875,6,192,False
C1.260.224,1,260,249.28940869676134,220.08399963378906,7,193,False
C1.428.104,1,428,249.23183486218406,246.33245849609375,6,194,False
C1.381.178,1,381,249.15450795668704,253.50775146484375,4,195,False
C1.309.37,1,309,249.0999018703685,225.20994567871094,7,196,False
C1.5.113,1,5,249.07664478545522,200.21400451660156,3,197,False
C1.253.130,1,253,249.05311368004888,245.53955078125,7,198,False
C1.428.136,1,428,249.04814918290413,252.77174377441406,6,199,False
C1.381.132,1,381,248.94034046606106,259.54681396484375,4,200,False
C1.253.151,1,253,248.88927427737372,224.71095275878906,7,201,False
C1.381.78,1,381,248.88562516344481,245.51889038085938,5,202,False
C1.381.148,1,381,248.8825174858031,228.578857421875,5,203,False
C1.127.00000000096,1,127,248.8807937288805,228.0,4,204,False
C1.428.174,1,428,248.84768770088402,269.223876953125,5,205,False
C1.381.27,1,381,248.79082262929842,234.946044921875,5,206,False
C1.127.00000000104,1,127,248.7642941075456,237.5,4,207,False
C1.383.16,1,383,248.76134162086865,240.4754180908203,6,208,False
C1.381.5,1,381,248.7476442844515,248.9178009033203,5,209,False
C1.278.48,1,278,248.73770469526505,232.18557739257812,8,210,False
C1.238.100,1,238,248.68812790209645,223.65676879882812,10,211,False
C1.253.6,1,253,248.6517140796362,230.57705688476562,7,212,False
C1.223.60,1,223,248.611036219692,219.97203063964844,7,213,False
C1.247.87,1,247,248.60420618412817,215.42648315429688,7,214,False
C1.278.140,1,278,248.56211040055982,224.4939727783203,7,215,False
C1.233.72,1,233,248.53135259219115,198.1643524169922,5,216,False
C1.383.170,1,383,248.49202519514063,242.0738067626953,6,217,False
C1.260.155,1,260,248.45529432750462,228.29798889160156,6,218,False
C1.428.94,1,428,248.44895014242059,247.755126953125,6,219,False
C1.238.199,1,238,248.4073926273983,234.0160675048828,10,220,False
C1.397.35,1,397,248.3983683450775,207.9342041015625,5,221,False
C1.266.47,1,266,248.31895451664056,220.81141662597656,7,222,False
C1.381.4,1,381,248.2974843336731,256.7109375,4,223,False
C1.253.172,1,253,248.2704610469576,245.71009826660156,7,224,False
C1.383.1,1,383,248.23717662111844,236.77708435058594,6,225,False
C1.31.00000000043,1,31,248.22076147599944,264.9619140625,1,226,False
C1.381.196,1,381,248.19964357296993,256.6259765625,5,227,False
C1.428.171,1,428,248.17990395695585,236.8055419921875,6,228,False
C1.261.183,1,261,248.16437398640537,207.6357879638672,8,229,False
C1.428.139,1,428,248.1566880362043,247.39840698242188,5,230,False
C1.5.69,1,5,248.10337452496847,215.586669921875,6,231,False
C1.396.24,1,396,247.99115191636565,225.44253540039062,5,232,False
C1.381.68,1,381,247.94544310160342,245.5696563720703,5,233,False
C1.428.206,1,428,247.94184746861347,243.98126220703125,6,234,False
C1.431.21,1,431,247.9289637027611,217.37744140625,5,235,False
C1.381.118,1,381,247.91148842289357,231.8421173095703,5,236,False
C1.500.68,1,500,247.88059460639164,253.15383911132812,4,237,False
C1.285.45,1,285,247.79174930335208,224.5587158203125,9,238,False
C1.360.119,1,360,247.78316589764742,232.58555603027344,6,239,False
C1.78.119,1,78,247.7831658976469,232.58555603027344,6,240,False
C1.381.191,1,381,247.77700963098317,230.48989868164062,5,241,False
C1.253.136,1,253,247.773360371902,243.4185333251953,7,242,False
C1.381.161,1,381,247.7321146490636,249.8921661376953,5,243,False
C1.380.142,1,380,247.69807010617686,229.21319580078125,3,244,False
C1.381.145,1,381,247.6925287423026,233.1970672607422,5,245,False
C1.383.174,1,383,247.66909878423124,227.3545684814453,6,246,False
C1.381.172,1,381,247.62557732333602,250.45693969726562,5,247,False
C1.253.17,1,253,247.61192391512412,247.2201690673828,7,248,False
C1.253.89,1,253,247.58323641122894,253.1949920654297,7,249,False
C1.5.79,1,5,247.54926536428783,220.64761352539062,5,250,False
C1.260.68,1,260,247.53442649169116,228.60191345214844,7,251,False
C1.381.38,1,381,247.4749658782579,232.385498046875,5,252,False
C1.418.38,1,418,247.45983253822482,232.2276153564453,4,253,False
C1.381.9,1,381,247.45472716045032,234.1890411376953,5,254,False
C1.381.69,1,381,247.45320724851973,255.10482788085938,5,255,False
C1.284.164,1,284,247.45241226750525,236.5706024169922,6,256,False
C1.381.42,1,381,247.39623245891872,238.9766845703125,5,257,False
C1.235.96,1,235,247.35531216791637,233.8441162109375,10,258,False
C1.251.48,1,251,247.34068034555256,221.45428466796875,9,259,False
C1.237.194,1,237,247.2581957496321,233.1549072265625,10,260,False
C1.107.194,1,107,247.2581957496228,233.15493774414062,10,261,False
C1.383.195,1,383,247.21231337477366,224.3032989501953,6,262,False
C1.284.202,1,284,247.1882250727433,239.333984375,6,263,False
C1.235.71,1,235,247.14432915098527,229.8689422607422,10,264,False
C1.380.130,1,380,247.03889997131077,222.0533447265625,5,265,False
C1.238.217,1,238,247.01484773182636,230.0146942138672,10,266,False
C1.381.126,1,381,246.9962892254071,246.20138549804688,5,267,False
C1.276.105,1,276,246.96253133914186,222.46620178222656,7,268,False
C1.411.24,1,411,246.9299321448127,235.52664184570312,2,269,False
C1.261.205,1,261,246.86981024841262,198.48690795898438,8,270,False
C1.260.96,1,260,246.869237303695,231.31948852539062,7,271,False
C1.127.00000000131,1,127,246.86689858620264,226.5,4,272,False
C1.236.177,1,236,246.85761863541447,237.80001831054688,10,273,False
C1.381.176,1,381,246.78110085727798,246.9942626953125,5,274,False
C1.418.72,1,418,246.76346596911281,247.99038696289062,4,275,False
C1.315.128,1,315,246.76116890639204,241.79037475585938,5,276,False
C1.284.41,1,284,246.74555128808376,238.4892578125,6,277,False
C1.418.27,1,418,246.73792259761413,248.4864959716797,5,278,False
C1.418.52,1,418,246.70883814607419,249.62704467773438,4,279,False
C1.253.186,1,253,246.6924278559781,248.23318481445312,7,280,False
C1.253.12,1,253,246.68712308358607,231.31729125976562,7,281,False
C1.381.36,1,381,246.68234169948087,246.01278686523438,5,282,False
C1.381.59,1,381,246.6598076271116,260.6323547363281,5,283,False
C1.261.178,1,261,246.54657337305198,209.74478149414062,8,284,False
C1.381.111,1,381,246.49890799966596,247.86013793945312,5,285,False
C1.396.174,1,396,246.45293458955044,228.42547607421875,4,286,False
C1.381.6,1,381,246.4098638946848,252.0643768310547,3,287,False
C1.383.5,1,383,246.40669858174795,249.7616424560547,6,288,False
C1.382.56,1,382,246.3908468818366,231.7016143798828,6,289,False
C1.396.86,1,396,246.29636397097184,232.68984985351562,5,290,False
C1.107.10,1,107,246.26450260698553,237.6451873779297,9,291,False
C1.237.10,1,237,246.26450260698005,237.6451873779297,9,292,False
C1.284.110,1,284,246.24109750605317,242.3445281982422,6,293,False
C1.253.59,1,253,246.1757703440538,236.89491271972656,7,294,False
C1.418.75,1,418,246.15207270702317,244.87899780273438,5,295,False
C1.381.193,1,381,246.13884454951284,242.31143188476562,5,296,False
C1.381.71,1,381,246.12626415944305,270.322998046875,4,297,False
C1.429.92,1,429,246.11844137984613,208.597412109375,6,298,False
C1.78.114,1,78,246.09514749245412,242.72300720214844,7,299,False
C1.360.114,1,360,246.09514749245366,242.72300720214844,7,300,False
C1.31.00000000067,1,31,246.06825053681914,253.05369567871094,1,301,False
C1.411.33,1,411,246.06511985471988,220.10719299316406,3,302,False
C1.78.108,1,78,246.0368771080635,211.7374267578125,5,303,False
C1.360.108,1,360,246.03687710806298,211.73739624023438,5,304,False
C1.253.42,1,253,245.9542713237453,242.4521942138672,7,305,False
C1.127.00000000043,1,127,245.94595287849822,221.0,4,306,False
C1.284.187,1,284,245.9011272029313,231.7689208984375,6,307,False
C1.431.38,1,431,245.88902964598853,258.3515930175781,3,308,False
C1.279.188,1,279,245.835698293348,236.57374572753906,8,309,False
C1.451.82,1,451,245.8240904283658,239.41946411132812,5,310,False
C1.253.132,1,253,245.8169817115519,238.5504913330078,7,311,False
C1.500.154,1,500,245.81502952929472,223.7447052001953,6,312,False
C1.253.114,1,253,245.79901922259685,239.2772674560547,7,313,False
C1.254.55,1,254,245.7934440076978,225.96250915527344,7,314,False
C1.360.30,1,360,245.77459177682863,228.15101623535156,6,315,False
C1.78.30,1,78,245.7745917768281,228.15101623535156,6,316,False
C1.253.104,1,253,245.75913100655984,224.76951599121094,7,317,False
C1.381.57,1,381,245.73380013150063,250.990478515625,5,318,False
C1.381.149,1,381,245.72863511284024,240.274658203125,4,319,False
C1.255.191,1,255,245.68479101893917,232.3956298828125,8,320,False
C1.428.154,1,428,245.6516660335992,241.93072509765625,6,321,False
C1.383.127,1,383,245.6369454691974,237.2197265625,6,322,False
C1.253.111,1,253,245.63688708302297,236.18115234375,7,323,False
C1.428.122,1,428,245.63361753771525,252.8567352294922,6,324,False
C1.428.140,1,428,245.6159135888815,256.1522521972656,6,325,False
C1.253.160,1,253,245.61163139250039,241.8022003173828,7,326,False
C1.253.144,1,253,245.6111960462545,229.36947631835938,7,327,False
C1.381.147,1,381,245.59906023555578,243.14151000976562,5,328,False
C1.381.100,1,381,245.57184704777137,238.1880645751953,5,329,False
C1.268.93,1,268,245.56990018267103,218.1606903076172,8,330,False
C1.238.39,1,238,245.55064983845932,249.2373046875,10,331,False
C1.253.97,1,253,245.5453040451423,226.42135620117188,7,332,False
C1.418.51,1,418,245.52915835665559,225.4924774169922,5,333,False
C1.260.112,1,260,245.518749669851,235.93701171875,6,334,False
C1.260.100,1,260,245.50035724447426,224.617919921875,6,335,False
C1.260.156,1,260,245.47207451406817,241.3448944091797,6,336,False
C1.238.169,1,238,245.45849961890184,231.90977478027344,9,337,False
C1.253.103,1,253,245.4192215925062,228.35557556152344,7,338,False
C1.451.43,1,451,245.3301165744698,231.99952697753906,6,339,False
C1.107.19,1,107,245.32009545767687,227.92697143554688,9,340,False
C1.237.19,1,237,245.32009545767536,227.92697143554688,9,341,False
C1.114.00000000080,1,114,245.31930000384466,232.34060668945312,1,342,False
C1.381.8,1,381,245.3034030456949,248.84469604492188,5,343,False
C1.266.248,1,266,245.27073927031793,217.17861938476562,7,344,False
C1.381.26,1,381,245.26238301614984,245.30538940429688,5,345,False
C1.253.201,1,253,245.23971826266708,233.1946563720703,7,346,False
C1.365.159,1,365,245.2273466392832,231.591552734375,8,347,False
C1.260.233,1,260,245.20521790650818,231.3385772705078,5,348,False
C1.383.18,1,383,245.20457612050515,245.16749572753906,6,349,False
C1.388.74,1,388,245.19749699718355,228.1889190673828,5,350,False
C1.277.40,1,277,245.18724051603178,217.6531219482422,8,351,False
C1.238.181,1,238,245.13748778478103,232.1300811767578,10,352,False
C1.260.196,1,260,245.12735243178736,234.11141967773438,7,353,False
C1.381.15,1,381,245.09832761466456,258.8536071777344,5,354,False
C1.383.178,1,383,245.0965839297308,248.60293579101562,5,355,False
C1.127.00000000163,1,127,245.0921409137092,228.0,4,356,False
