line,pred,y,n_fields,population
C1.479.143,11.238770065464424,-3.9397902,12,479
C1.474.37,11.236085103384305,-1.9664494,8,474
C1.479.90,11.234394177821683,-3.5576487,6,479
C1.454.64,11.212778676568123,-1.1358774,8,454
C1.454.132,11.209911706065746,-15.135444,7,454
C1.487.104,11.200953089329515,-18.20294,5,487
C1.497.4,11.188941938545945,-5.937122,8,497
C1.463.70,11.174465258997554,7.7860904,6,463
C1.479.35,11.147949236692524,-17.710968,5,479
C1.479.153,11.141491274881995,4.9453096,12,479
C1.463.36,11.137032511537242,19.08159,6,463
C1.479.1,11.126272085974843,-9.867449,6,479
C1.479.65,11.121481155633095,-4.4465985,6,479
C1.479.142,11.111018628074971,2.2158349,6,479
C1.454.19,11.108176396899333,-14.389211,7,454
C1.454.99,11.091277227873414,-2.4666524,8,454
C1.497.194,11.072134877717442,0.0842529,8,497
C1.470.93,11.050217230576603,11.746818,7,470
C1.479.125,11.027913371413087,-0.18033192,6,479
C1.479.127,11.019114107678046,-5.949765,6,479
C1.454.60,11.00147599944159,-6.386176,7,454
C1.497.193,10.998223880417559,1.3236779,8,497
C1.479.116,10.991806072780387,-2.110982,6,479
C1.497.93,10.984014545687781,-0.8713346,8,497
C1.454.32,10.958346731026113,1.0486977,8,454
C1.454.44,10.94689359379298,-6.8041024,8,454
C1.463.109,10.942591171357979,7.117791,5,463
C1.497.219,10.942519095164538,-4.4739094,8,497
C1.454.143,10.937719680990824,4.3376474,8,454
C1.479.146,10.937195218248975,-7.404051,10,479
C1.497.35,10.93236007269312,-18.883041,6,497
C1.479.94,10.906537949192037,-13.587723,5,479
C1.479.128,10.895515059674787,-9.631398,6,479
C1.497.162,10.8797681022472,3.0037904,8,497
C1.497.81,10.876720453598187,-15.038785,8,497
C1.479.66,10.844652464366279,-7.8304625,5,479
C1.497.109,10.841674023012194,-21.341846,8,497
C1.454.142,10.841350492744374,-9.32774,8,454
C1.454.61,10.83799792140362,-6.100226,7,454
C1.454.124,10.835588571486202,0.61098903,7,454
C1.497.119,10.814472174857348,-10.18096,8,497
C1.454.176,10.8126212673887,-2.4514253,7,454
C1.497.87,10.808507322904637,1.3944,7,497
C1.454.144,10.807997534044288,2.5681353,8,454
C1.454.37,10.784081102584453,-3.3409898,8,454
C1.497.171,10.783334019808382,6.133053,8,497
C1.497.154,10.768991150368768,-4.575697,8,497
C1.479.117,10.752377367155098,-7.1034317,6,479
C1.479.149,10.749296365736086,5.0771933,12,479
C1.454.80,10.725915702345834,1.3822227,8,454
C1.454.81,10.725532787974357,-4.6842523,8,454
C1.454.118,10.717145752449253,-3.6980681,7,454
C1.479.87,10.71046334346761,1.5996609,5,479
C1.479.6,10.706842240648745,0.3902681,6,479
C1.454.125,10.696299026872554,6.9095464,7,454
C1.452.41,10.685486519273569,12.177046,8,452
C1.487.54,10.681966798845862,7.0317807,5,487
C1.454.77,10.67197827623605,0.9465476,8,454
C1.497.136,10.668489021197658,4.9556527,8,497
C1.497.95,10.658828824466168,-9.865985,8,497
C1.497.44,10.656572318326903,3.7992706,5,497
C1.479.122,10.648808144523857,-13.826215,6,479
C1.452.97,10.639672397704361,6.9535456,8,452
C1.454.102,10.610265000000282,-7.9585524,8,454
C1.497.34,10.610063314017035,-18.588835,8,497
C1.497.210,10.60720514688788,5.5592904,8,497
C1.497.97,10.602906409040665,3.7954154,8,497
C1.454.84,10.600118874060003,-1.0452899,8,454
C1.452.30,10.583966787531399,7.0714455,8,452
C1.497.18,10.582989948134346,1.3327779,8,497
C1.452.148,10.577707870466352,11.604686,7,452
C1.497.65,10.57124537235926,0.36420915,6,497
C1.479.3,10.565230126867297,-10.3808155,6,479
C1.497.169,10.554147701581604,2.7091029,8,497
C1.479.151,10.550510671472058,-0.36568192,12,479
C1.479.84,10.51738290846925,11.074552,6,479
C1.497.207,10.504072361995167,18.524233,7,497
C1.454.154,10.491358316644567,2.2119477,8,454
C1.474.14,10.48410869810855,-8.369937,8,474
C1.452.7,10.46727576719299,3.778429,7,452
C1.479.115,10.463209482291402,8.351661,5,479
C1.452.121,10.45474107525344,9.218543,7,452
C1.454.63,10.447489075426494,-0.38482735,8,454
C1.474.56,10.435529691016006,-10.505699,8,474
C1.479.79,10.419302582880844,-16.299065,6,479
C1.479.32,10.417690218004926,-20.825418,5,479
C1.497.69,10.412844326688647,-3.6948845,8,497
C1.479.135,10.404559494992775,-14.262849,6,479
C1.479.137,10.393039618024858,8.834401,5,479
C1.452.137,10.370619907958487,8.726787,7,452
C1.479.105,10.36218271204111,0.3823681,6,479
C1.479.85,10.359704020857267,-7.2455487,6,479
